SUNNY 1 PANNEL,R=75,,,CLOUDY,R=120,,,SUNNY,R=75,,,,,,RELATIVE SUNNY ,R=75,,,SUNNY (EMU),R=75,"RH=74, Rs=1.3",,NO SUN,R=75,,,RELATIVE SUNNY EMULATION,,"Rs=3, RH=400",,LED,YELLOW,,LED,RED,,LED,BLUE,,DURATIION TEST,29/5/2023,Sunny
V,I,P,,V,I,P,,V,I,P,,,,,V,I,P,,V,I,P,,V,I,P,,V,I,P,,V,I,,V,I,,V,I,,Time,Vout,Vin
5.7,0,0,,5.68,0,0,,5.79,0,0,,,,,5.83,0,0,,5.83,0.128,0.74624,,4.3,0,0,,5.53,0.067,0.37051,,0,0,,0,0,,0,0,,13:49,16,5.59
5.65,0.062,0.3503,,5.67,0.039,0.22113,,5.77,0.077,0.44429,,,,,5.81,0.058,0.33698,,5.79,0.128,0.74112,,4.28,0.042,0.17976,,5.49,0.083,0.45567,,1.83,0.003,,1.78,0.003,,2.49,0.003,,14:49,15.96,5.55
5.59,0.075,0.41925,,5.68,0.047,0.26696,,5.75,0.083,0.47725,,,,,5.81,0.065,0.37765,,5.77,0.133,0.76741,,4.26,0.042,0.17892,,5.45,0.093,0.50685,,1.86,0.006,,1.82,0.006,,2.52,0.006,,15:49,16.04,5.61
5.53,0.096,0.53088,,5.67,0.049,0.27783,,5.73,0.083,0.47559,,,,,5.81,0.068,0.39508,,5.73,0.145,0.83085,,4.24,0.038,0.16112,,5.4,0.107,0.5778,,1.87,0.01,,1.84,0.01,,2.55,0.01,,16:49,16,5.63
5.51,0.105,0.57855,,5.67,0.056,0.31752,,5.71,0.102,0.58242,,,,,5.81,0.072,0.41832,,5.71,0.167,0.95357,,3.92,0.037,0.14504,,5.36,0.114,0.61104,,1.89,0.015,,1.89,0.02,,2.6,0.02,,17:49,16,5.63
5.43,0.12,0.6516,,5.67,0.065,0.36855,,5.69,0.12,0.6828,,,,,5.77,0.083,0.47891,,5.67,0.18,1.0206,,3.76,0.037,0.13912,,5.32,0.13,0.6916,,1.9,0.02,,1.93,0.03,,2.65,0.03,,18:49,16.02,5.65
5.33,0.137,0.73021,,5.66,0.075,0.4245,,5.67,0.138,0.78246,,,,,5.75,0.093,0.53475,,5.63,0.2,1.126,,3.44,0.037,0.12728,,5.26,0.147,0.77322,,1.91,0.025,,1.95,0.04,,2.69,0.04,,19:49,16,5.51
5.21,0.154,0.80234,,5.65,0.092,0.5198,,5.65,0.164,0.9266,,,,,5.75,0.103,0.59225,,5.61,0.207,1.16127,,3.2,0.037,0.1184,,5.18,0.168,0.87024,,1.91,0.03,,1.99,0.05,,2.72,0.05,,20:49,11.35,4.54
5.06,0.167,0.84502,,5.65,0.106,0.5989,,5.63,0.197,1.10911,,,,,5.69,0.113,0.64297,,5.59,0.227,1.26893,,2.94,0.038,0.11172,,5.06,0.202,1.02212,,1.93,0.035,,2.02,0.06,,2.75,0.06,,21:49,4.72,0.06
4.92,0.175,0.861,,5.67,0.116,0.65772,,5.61,0.207,1.16127,,,,,5.67,0.126,0.71442,,5.57,0.239,1.33123,,2.78,0.038,0.10564,,4.96,0.232,1.15072,,1.94,0.04,,2.05,0.07,,2.79,0.07,,22:49,1.32,0.04
4.7,0.177,0.8319,,5.63,0.126,0.70938,,5.59,0.239,1.33601,,,,,5.63,0.136,0.76568,,5.55,0.258,1.4319,,2.62,0.034,0.08908,,4.7,0.242,1.1374,,1.95,0.045,,2.08,0.08,,2.82,0.08,,,,
4.36,0.193,0.84148,,5.61,0.136,0.76296,,5.57,0.281,1.56517,,,,,5.61,0.146,0.81906,,5.53,0.264,1.45992,,2.3,0.035,0.0805,,4.46,0.242,1.07932,,1.96,0.055,,2.11,0.09,,2.84,0.09,,,,
4.06,0.196,0.79576,,5.55,0.145,0.80475,,5.55,0.308,1.7094,,,,,5.59,0.154,0.86086,,5.51,0.285,1.57035,,2.1,0.033,0.0693,,4.22,0.244,1.02968,,1.98,0.065,,2.14,0.1,,2.87,0.1,,,,
3.67,0.196,0.71932,,5.49,0.156,0.85644,,5.51,0.344,1.89544,,,,,5.57,0.166,0.92462,,5.49,0.296,1.62504,,2.06,0.033,0.06798,,4.06,0.244,0.99064,,1.99,0.075,,2.19,0.12,,2.89,0.11,,,,
3.23,0.196,0.63308,,5.47,0.165,0.90255,,5.43,0.394,2.13942,,,,,5.53,0.176,0.97328,,5.45,0.3,1.635,,1.96,0.032,0.06272,,3.72,0.244,0.90768,,2,0.085,,2.23,0.14,,2.91,0.12,,,,
3.1,0.196,0.6076,,5.41,0.176,0.95216,,5.39,0.422,2.27458,,,,,5.39,0.185,0.99715,,5.43,0.318,1.72674,,1.88,0.03,0.0564,,3.44,0.243,0.83592,,2.01,0.095,,2.28,0.16,,2.93,0.13,,,,
2.7,0.196,0.5292,,5.39,0.185,0.99715,,5.33,0.458,2.44114,,,,,5.37,0.196,1.05252,,5.41,0.34,1.8394,,1.64,0.028,0.04592,,3.18,0.247,0.78546,,2.02,0.1,,2.29,0.18,,2.95,0.14,,,,
2.28,0.195,0.4446,,5.35,0.196,1.0486,,5.25,0.498,2.6145,,,,,5.29,0.206,1.08974,,5.39,0.367,1.97813,,1.56,0.028,0.04368,,2.62,0.249,0.65238,,2.03,0.11,,2.33,0.2,,2.97,0.15,,,,
1.86,0.197,0.36642,,5.35,0.206,1.1021,,5.17,0.53,2.7401,,,,,5.23,0.216,1.12968,,5.35,0.39,2.0865,,1.22,0.025,0.0305,,,,,,2.04,0.12,,2.37,0.22,,2.98,0.16,,,,
1.3,0.197,0.2561,,5.31,0.216,1.14696,,4.92,0.591,2.90772,,,,,5.17,0.226,1.16842,,5.33,0.41,2.1853,,1.04,0.025,0.026,,,,,,2.05,0.13,,2.44,0.24,,3,0.17,,,,
0.92,0.197,0.18124,,5.23,0.226,1.18198,,4.82,0.611,2.94502,,,,,5.13,0.236,1.21068,,5.31,0.433,2.29923,,0.84,0.025,0.021,,,,,,2.07,0.15,,2.48,0.26,,3.01,0.18,,,,
0.8,0.197,0.1576,,5.15,0.236,1.2154,,4.58,0.644,2.94952,,,,,5.1,0.246,1.2546,,5.27,0.464,2.44528,,0.7,0.025,0.0175,,,,,,2.09,0.17,,2.52,0.28,,3.03,0.19,,,,
,,,,4.96,0.24,1.1904,,4.5,0.647,2.9115,,,,,5.08,0.256,1.30048,,5.25,0.485,2.54625,,0.6,0.025,0.015,,,,,,2.12,0.2,,,,,3.04,0.2,,,,
,,,,4.64,0.245,1.1368,,4.36,0.65,2.834,,,,,4.92,0.265,1.3038,,5.21,0.519,2.70399,,,,,,,,,,2.14,0.22,,,,,3.07,0.22,,,,
,,,,3.84,0.246,0.94464,,4.26,0.661,2.81586,,,,,4.74,0.277,1.31298,,5.19,0.543,2.81817,,,,,,,,,,2.16,0.24,,,,,3.1,0.24,,,,
,,,,2.66,0.25,0.665,,4.1,0.667,2.7347,,,,,4.62,0.286,1.32132,,5.13,0.583,2.99079,,,,,,,,,,2.18,0.26,,,,,3.13,0.26,,,,
,,,,,,,,4,0.671,2.684,,,,,2.74,0.292,0.80008,,5.1,0.607,3.0957,,,,,,,,,,2.2,0.28,,,,,3.15,0.28,,,,
,,,,,,,,3.9,0.687,2.6793,,,,,,,,,5.04,0.636,3.20544,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3.6,0.682,2.4552,,,,,,,,,4.96,0.659,3.26864,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3.54,0.687,2.43198,,,,,,,,,4.83,0.659,3.18297,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3.44,0.687,2.36328,,,,,,,,,4.77,0.66,3.1482,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3.32,0.687,2.28084,,,,,,,,,4.53,0.66,2.9898,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3.04,0.687,2.08848,,,,,,,,,4.21,0.66,2.7786,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2.52,0.687,1.73124,,,,,,,,,3.68,0.66,2.4288,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,2.72,0.66,1.7952,,,,,,,,,,,,,,,,,,,,,
